A,B,C,D,angle,area,perimeter,defects,label
842.9970577,326.8823229,211.7951041,1053.005954,195.8998811,574.5,104.5269114,3,B
861.7915562,344.9926574,210.5332312,905.5947062,186.2682231,586,108.7695519,3,B
856.0880142,339.8424729,210.3932843,780.8356133,201.0349719,597.5,108.1837655,3,B
850.3801878,325.7095111,211.1405672,1182.685834,194.2805662,598,106.7695519,3,B
869.6851247,351.0192504,212.5039087,753.007098,193.2753813,576.5,105.3553385,3,B
864.1364923,344.7348386,212.4666222,907.0934189,188.5464656,579.5,105.3553386,3,B
871.3009694,345.3234676,213.0469047,781.538781,197.7763219,571,103.9411249,3,B
866.9937798,349.5955281,211.7316818,950.9998084,194.7334149,588,104.7695518,3,B
855.7567439,335.9789122,211.1513993,947.4659037,190.9380064,598,106.7695518,3,B
848.8797745,334.2241586,210.4383205,1229.479952,196.623319,579,103.9411248,3,B
859.7535867,344.3059251,212.2391007,880.3115651,192.6660473,581,104.7695518,3,B
859.7617809,356.1691223,210.1979904,816.8013878,198.9873951,586.5,105.3553385,3,B
863.4260331,343.3363898,212.1721101,952.5885489,187.7689577,590.5,108.1837654,3,B
863.757827,362.1133526,213.5076661,642.1303409,199.2938896,588,107.9411249,3,B
860.5797675,344.6668372,211.866779,893.098522,189.1134815,592.5,108.1837655,3,B
861.494374,344.0376746,213.5135833,995.2470209,190.194298,590.5,106.1837655,3,B
852.0073064,334.9942859,209.7593705,1067.464588,193.1534233,578,105.5979789,3,B
854.8352174,335.3473857,209.9433141,1067.82538,189.8275835,591.5,107.0121926,3,B
863.7836706,341.478611,211.9052231,1074.129785,191.4386318,599.5,108.1837653,3,B
863.6990938,346.2078321,209.3087551,938.4115987,190.1619137,592.5,107.3553383,3,B
860.7611608,340.2380224,212.9753077,1077.155875,186.5535829,586.5,107.3553385,3,B
869.9042868,360.383499,211.2720702,784.6691445,187.0585775,585,105.9411249,3,B
866.1693771,351.1822545,211.56854,1080.873562,189.8856188,588.5,107.3553383,3,B
865.7700646,341.1643741,211.94029,1197.354297,185.2355957,588,106.769552,3,B
873.4930134,358.3477961,211.3198743,1202.960927,179.1361095,596,106.7695519,3,B
863.207891,323.2725203,210.9437122,1321.054834,180.9754732,590,107.5979789,3,B
851.4546881,325.170742,212.5145695,1236.318914,190.5368743,583,105.9411248,3,B
850.4187626,341.9543645,212.9939515,971.0776221,199.1697595,597,107.5979791,3,B
866.9075615,347.4875454,213.8841664,906.7850437,178.3922825,601,107.5979791,3,B
863.2642102,336.4658086,213.6178893,951.486149,182.3650992,591,107.5979791,3,B
864.265721,346.7194992,212.4222418,961.7990912,194.8039995,594,107.5979791,3,B
872.4699421,357.0789505,213.0568369,784.8823388,196.4077312,606,108.7695518,3,B
864.590673,352.8249739,213.6444882,1087.846613,190.4858088,586.5,105.3553385,3,B
872.4814317,343.4631049,211.8199185,899.2784415,184.8465752,600,107.5979791,3,B
856.5226334,335.0314763,211.7939072,903.1602561,193.4942162,585.5,105.3553385,3,B
862.1778831,335.5817739,213.5386646,1054.033622,192.7811851,595.5,107.3553383,3,B
859.4390138,349.5556313,211.8199185,1077.49261,184.062805,602.5,108.1837656,3,B
866.8436968,344.5989931,211.8199185,1383.430275,183.5045032,600.5,108.1837656,3,B
873.9967855,345.2601584,214.4848242,816.8872158,195.365694,588.5,107.3553383,3,B
862.4560693,338.8895361,212.878331,1196.167993,193.9252905,593.5,109.3553383,3,B
869.3379576,341.3869114,209.5603838,1202.795464,189.9338396,593,107.5979789,3,B
871.4209824,353.9927775,212.8581005,788.9004684,195.2017839,586,107.5979791,3,B
868.7680313,335.0075961,226.7024086,972.8950026,243.7926001,596,109.5979789,4,B
875.5846214,353.1840319,214.1434138,946.7075427,188.2037497,609,110.7695519,3,B
853.0459895,339.2091145,212.7659481,947.1603386,181.6219849,591.5,106.5269113,3,B
869.0305007,334.9813509,216.2601584,804.1518318,186.7774819,609,106.769552,3,B
879.7973234,347.4807102,217.6070071,818.5690942,185.7945256,602,107.5979791,3,B
881.5238707,347.6759015,215.0165519,1090.949618,184.7199984,604,108.4264059,3,B
886.0672834,349.9999184,215.4828252,913.8106871,181.3367787,594.5,106.5269114,3,B
892.6764457,373.2599874,217.926601,1108.44264,177.163361,609,109.9411248,3,B
887.5460031,356.9727306,219.1100712,943.1209557,184.6292016,579,104.769552,3,B
874.4543222,323.8361743,217.8218388,766.0454586,180.1016697,599.5,106.1837655,3,B
